module,mean,var,std,min,max,p01,p05,p50,p95,p99,zero_ratio
refine_se.block.fc.0,-0.003198743797838688,3.107217594333633e-08,0.00020266271473395477,-0.0037392498925328255,-0.0026810853742063046,-0.003609108505770564,-0.003504824824631214,-0.003207047935575247,-0.002914935816079378,-0.002836494939401746,0.0
refine_se.block.fc.1,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
refine_se.block.fc.2,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
refine_se.block.fc.3,0.5,0.0,0.0001,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
refine_out.0,0.009652845561504364,0.00014839661889709532,0.012182225531367219,-0.048725374042987823,0.07197657972574234,-0.017030559480190277,-0.009916529059410095,0.009392758831381798,0.030149197205901146,0.03886552155017853,0.004752159118652344
refine_out.1,0.009651032276451588,0.00014832110900897533,0.012179125954229035,-0.04868685081601143,0.07185254245996475,-0.017028912901878357,-0.009916204027831554,0.009392481297254562,0.030140066519379616,0.0388459637761116,0.004752159118652344
encoder_conv.block.0,-0.0003143119683954865,0.027978450059890747,0.16726763004206985,-0.8096892833709717,0.8665453791618347,-0.4089779853820801,-0.2918514311313629,-0.0006061854073777795,0.2882755398750305,0.41191309690475464,0.0005016326904296875
encoder_conv.block.1,-0.0003143104841001332,0.027978165075182915,0.16726677815747787,-0.8096851706504822,0.8665409684181213,-0.40897589921951294,-0.29184994101524353,-0.0006061823223717511,0.2882740795612335,0.4119110107421875,0.0005016326904296875
encoder_conv.block.2,0.0643090009689331,0.009819304570555687,0.09909245466005819,0.0,0.8665409684181213,0.0,0.0,0.0,0.2882740795612335,0.4119110107421875,0.5018520355224609
encoder_se.block.avg_pool,0.06509073078632355,0.0009683331591077149,0.031118212659272622,-0.013540741056203842,0.1418420374393463,-0.003413994563743472,0.022123757749795914,0.06817368417978287,0.11459127068519592,0.12504804134368896,0.0
encoder_se.block.fc.0,-0.028026331216096878,2.4512863092240877e-05,0.004952056450833419,-0.040127769112586975,-0.018079198896884918,-0.03783291205763817,-0.03591347485780716,-0.026485959067940712,-0.02121818996965885,-0.019170518964529037,0.0
encoder_se.block.fc.1,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
encoder_se.block.fc.2,0.0,0.0,0.0001,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0
encoder_se.block.fc.3,0.5,0.0,0.0001,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
encoder_fc,-0.0011644121259450912,0.02426111325621605,0.15575982555272733,-0.6987594962120056,0.736090898513794,-0.36329662799835205,-0.2566990256309509,-0.0012959078885614872,0.2549128830432892,0.3613561689853668,0.000453948974609375
decoder_fc,-8.329810225404799e-05,0.008159772492945194,0.09033151439528286,-0.46063557267189026,0.40957462787628174,-0.21098478138446808,-0.1488395780324936,-3.2864511013031006e-05,0.14836737513542175,0.21024195849895477,0.0009164810180664062
refine.0,1.0963222848658916e-05,0.002698232652619481,0.05194461139155322,-0.3014715015888214,0.301242858171463,-0.12413781881332397,-0.08538743108510971,-3.5279895200801548e-06,0.08549555391073227,0.12431679666042328,0.0016226768493652344
refine.1,1.0963178283418529e-05,0.0026982054114341736,0.05194434917711621,-0.30146998167037964,0.30124133825302124,-0.12413719296455383,-0.08538699895143509,-3.5279715575597947e-06,0.08549512177705765,0.12431616336107254,0.0016226768493652344
refine.2,0.020471980795264244,0.0009309156448580325,0.03051107413477986,0.0,0.30124133825302124,0.0,0.0,0.0,0.08549512177705765,0.12431616336107254,0.5008339881896973
refine.3,0.0012516926508396864,0.0004228574107401073,0.020563740193362375,-0.11955304443836212,0.12516678869724274,-0.04568322002887726,-0.03179705888032913,0.0008081848500296474,0.03581855818629265,0.05176089331507683,0.0040160417556762695
refine.4,0.0012516863644123077,0.00042285313247703016,0.020563636168660204,-0.11955244094133377,0.1251661479473114,-0.045682989060878754,-0.0317968986928463,0.0008081807754933834,0.035818375647068024,0.051760632544755936,0.0040160417556762695
refine.5,0.008764322847127914,0.00016279642295558006,0.012759562020523276,0.0,0.1251661479473114,0.0,0.0,0.0008081807754933834,0.035818375647068024,0.051760632544755936,0.4857879877090454
refine_se.block.avg_pool,0.008764322847127914,4.108207576791756e-05,0.006410310114800809,0.0016117977211251855,0.02395479381084442,0.0016717070247977972,0.0018201550701633096,0.005905458703637123,0.020434994250535965,0.021997855976223946,0.0
refine_se.block.fc.0,-0.0031900459434837103,2.3426595774367343e-08,0.00018282941714715205,-0.0036628542002290487,-0.002733062719926238,-0.0035326930228620768,-0.003446542890742421,-0.003177918028086424,-0.002965162042528391,-0.002859161701053381,0.0
refine_se.block.fc.1,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
refine_se.block.fc.2,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
refine_se.block.fc.3,0.5,0.0,0.0001,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
refine_out.0,0.009630078449845314,0.0001473905867896974,0.012140864334539671,-0.04084239527583122,0.07641226053237915,-0.01689300872385502,-0.009845223277807236,0.00937911868095398,0.030037445947527885,0.03873286023736,0.0049495697021484375
refine_out.1,0.009628280997276306,0.0001473162992624566,0.012137804548700584,-0.04081970080733299,0.07626388967037201,-0.016891401261091232,-0.009844904765486717,0.009378844872117043,0.030028415843844414,0.03871350362896919,0.0049495697021484375
